iter	Passed	Remaining
0	306	91616
1	391	58332
2	649	64279
3	838	62017
4	925	54611
5	1028	50378
6	1182	49481
7	1262	46092
8	1343	43446
9	1503	43587
10	1593	41878
11	1693	40638
12	1843	40707
13	1924	39312
14	2003	38070
15	2143	38045
16	2225	37040
17	2308	36159
18	2452	36273
19	2475	34658
20	2572	34173
21	2719	34358
22	2801	33734
23	2913	33505
24	3052	33575
25	3154	33242
26	3268	33049
27	3416	33187
28	3507	32779
29	3597	32375
30	3782	32819
31	3893	32604
32	3986	32257
33	4133	32339
34	4225	31989
35	4316	31654
36	4483	31869
37	4567	31494
38	4647	31101
39	4805	31232
40	4895	30924
41	4990	30655
42	5144	30748
43	5225	30402
44	5307	30074
45	5450	30098
46	5536	29803
47	5614	29477
48	5752	29465
49	5867	29338
50	5958	29090
51	6096	29076
52	6189	28846
53	6274	28585
54	6412	28565
55	6498	28314
56	6598	28132
57	6751	28168
58	6837	27930
59	6945	27782
60	7093	27791
61	7179	27560
62	7273	27360
63	7423	27375
64	7526	27209
65	7607	26971
66	7755	26969
67	7845	26768
68	7934	26564
69	8061	26486
70	8166	26339
71	8267	26181
72	8429	26213
73	8545	26097
74	8690	26071
75	8895	26218
76	9029	26150
77	9177	26121
78	9420	26354
79	9559	26287
80	9705	26240
81	9934	26410
82	10068	26322
83	10228	26302
84	10442	26414
85	10606	26392
86	10760	26344
87	10978	26447
88	11117	26356
89	11257	26267
90	11506	26425
91	11660	26361
92	11808	26283
93	12035	26374
94	12183	26290
95	12328	26198
96	12539	26242
97	12692	26162
98	12821	26030
99	13040	26081
100	13192	25992
101	13331	25877
102	13555	25926
103	13695	25810
104	13848	25718
105	14081	25772
106	14212	25635
107	14345	25503
108	14559	25512
109	14685	25365
110	14818	25231
111	15037	25241
112	15176	25114
113	15304	24970
114	15529	24981
115	15662	24844
116	15806	24723
117	16030	24725
118	16172	24597
119	16316	24474
120	16538	24466
121	16682	24340
122	16817	24201
123	17035	24178
124	17173	24042
125	17318	23915
126	17533	23883
127	17670	23744
128	17814	23614
129	18032	23581
130	18178	23451
131	18324	23322
132	18558	23302
133	18705	23172
134	18861	23053
135	19072	22999
136	19216	22863
137	19347	22711
138	19565	22662
139	19723	22540
140	19872	22408
141	20076	22338
142	20233	22214
143	20373	22071
144	20606	22027
145	20750	21887
146	20902	21755
147	21119	21689
148	21260	21545
149	21396	21396
150	21630	21343
151	21761	21188
152	21898	21039
153	22133	20983
154	22272	20835
155	22407	20684
156	22644	20625
157	22792	20484
158	22949	20351
159	23171	20275
160	23296	20112
161	23433	19962
162	23657	19884
163	23798	19735
164	23947	19593
165	24145	19490
166	24269	19328
167	24429	19194
168	24638	19098
169	24759	18933
170	24897	18781
171	25108	18685
172	25237	18527
173	25369	18371
174	25587	18276
175	25737	18133
176	25873	17980
177	26102	17890
178	26285	17768
179	26432	17621
180	26629	17507
181	26756	17347
182	26883	17188
183	27098	17083
184	27239	16932
185	27420	16806
186	27646	16706
187	27786	16553
188	27927	16401
189	28161	16304
190	28296	16148
191	28440	15997
192	28662	15890
193	28798	15735
194	28943	15584
195	29173	15479
196	29307	15323
197	29466	15179
198	29713	15080
199	29878	14939
200	30018	14785
201	30245	14673
202	30382	14517
203	30533	14368
204	30759	14254
205	30900	14100
206	31039	13945
207	31258	13825
208	31388	13666
209	31539	13516
210	31768	13400
211	31908	13244
212	32076	13101
213	32336	12995
214	32474	12838
215	32615	12683
216	32832	12557
217	32979	12405
218	33124	12251
219	33326	12118
220	33475	11966
221	33612	11809
222	33827	11680
223	33946	11517
224	34086	11362
225	34299	11230
226	34440	11075
227	34595	10924
228	34825	10797
229	34979	10645
230	35140	10496
231	35362	10364
232	35527	10216
233	35649	10055
234	35861	9919
235	36012	9765
236	36153	9610
237	36369	9474
238	36507	9317
239	36650	9162
240	36861	9024
241	37013	8870
242	37158	8716
243	37383	8579
244	37515	8421
245	37646	8263
246	37861	8124
247	37975	7962
248	38096	7802
249	38296	7659
250	38429	7502
251	38583	7349
252	38808	7209
253	38946	7053
254	39069	6894
255	39282	6751
256	39413	6594
257	39565	6440
258	39768	6295
259	39903	6138
260	40027	5981
261	40237	5836
262	40371	5679
263	40518	5525
264	40724	5378
265	40858	5222
266	41009	5068
267	41238	4923
268	41363	4766
269	41513	4612
270	41717	4464
271	41850	4308
272	41984	4152
273	42182	4002
274	42332	3848
275	42468	3692
276	42678	3543
277	42829	3389
278	42965	3233
279	43210	3086
280	43333	2930
281	43453	2773
282	43665	2623
283	43790	2467
284	43923	2311
285	44139	2160
286	44269	2005
287	44393	1849
288	44610	1697
289	44745	1542
290	44878	1388
291	45108	1235
292	45262	1081
293	45406	926
294	45624	773
295	45771	618
296	45923	463
297	46135	309
298	46265	154
299	46421	0
