fir_narrative,district,police_station,crime_location_type,date_of_crime,time_of_crime,day_of_week,season,reported_by,victim_gender,victim_age,accused_gender,accused_age,weapon_used,vehicle_involved,num_accused,relationship,ipc_section,crime_category,FIR_Quality_Score,Completeness,Consistency,Relevance
The accused used a knife to fatally wound the victim at their residence.,Pali,Station C,highway,2024-12-10,03:43:58,Tuesday,Monsoon,Victim,Other,23,Female,30,knife,scooter,5,Friend,IPC 302 (Murder),Murder,1.03,0.0,0.0,1.030611366033554
The accused forcibly entered the victim’s home and committed the crime.,Alwar,Station B,residential area,2024-08-26,17:54:17,Monday,Monsoon,Eyewitness,Male,21,Other,56,gun,auto,2,Neighbor,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
"A heated argument turned violent at the market, injuring one person.",Beawar,Station C,market,2025-03-16,04:34:47,Sunday,Monsoon,Police,Male,57,Female,46,bare hands,bike,5,Neighbor,IPC 323 (Assault),Assault,0.64,0.0,0.0,0.63853320479393
A local resident was found murdered in a highway under mysterious circumstances.,Ajmer,Station A,highway,2024-10-27,04:40:24,Sunday,Spring,Relative,Male,35,Female,58,gun,car,1,Friend,IPC 302 (Murder),Murder,0.91,0.0,0.0,0.9085416197776794
A theft was reported where items were stolen from a highway.,Ajmer,Station B,highway,2025-04-15,15:12:33,Tuesday,Monsoon,Police,Female,38,Other,25,bare hands,bike,3,Acquaintance,IPC 379 (Theft),Theft,1.34,0.0,0.0,1.3367257118225098
"A violent brawl broke out at a highway, leading to serious injuries.",Salumbar,Station B,highway,2024-10-14,04:20:32,Monday,Monsoon,Relative,Other,33,Other,58,gun,scooter,2,Relative,IPC 323 (Assault),Assault,0.89,0.0,0.0,0.8907482028007507
The accused used a gun to fatally wound the victim at their residence.,Dausa,Station B,market,2024-11-27,03:41:29,Wednesday,Monsoon,Relative,Other,70,Female,70,gun,bike,3,Stranger,IPC 302 (Murder),Murder,1.08,0.0,0.0,1.083620309829712
The victim was abducted and raped in a moving vehicle by unknown individuals.,Barmer,Station C,highway,2024-08-04,20:50:30,Sunday,Spring,Relative,Male,10,Male,24,bare hands,bike,4,Relative,IPC 376 (Rape),Rape,1.08,0.0,0.0,1.0808066725730896
The accused forcibly entered the victim’s home and committed the crime.,Sawai Madhopur,Station A,school,2025-03-09,23:00:29,Sunday,Winter,Relative,Other,36,Female,44,gun,car,5,Relative,IPC 376 (Rape),Rape,1.05,0.0,0.0,1.0499506294727325
The body of the victim was discovered at a residential area with signs of struggle.,Udaipur,Station B,residential area,2025-05-11,11:18:05,Sunday,Summer,Police,Female,71,Other,45,knife,car,1,Relative,IPC 302 (Murder),Murder,0.97,0.0,0.0,0.9746900796890259
The body of the victim was discovered at a school with signs of struggle.,Dausa,Station A,school,2025-05-21,08:24:04,Wednesday,Winter,Police,Male,57,Other,45,bare hands,scooter,5,Acquaintance,IPC 302 (Murder),Murder,0.64,0.0,0.0,0.635125145316124
